indice,emoji,poblacion,val_media,val_desvio,aro_media,aro_desvio,dom_media,dom_desvio,fam_media,fam_desvio,cla_media,cla_desvio
1,😠,general,3.60,2.13,5.81,2.28,4.89,2.22,3.82,2.03,6.43,1.17
2,😧,general,3.53,2.18,5.32,2.07,4.19,2.05,2.84,1.84,5.02,1.81
3,😰,general,3.47,2.21,5.12,2.06,3.99,2.02,3.07,1.76,4.78,1.83
4,😲,general,5.39,1.66,5.08,2.11,5.18,2.04,3.42,2.01,5.47,1.81
5,😖,general,3.51,2.04,5.21,2.06,4.41,2.04,3.26,1.93,4.57,1.96
6,😕,general,4.15,1.48,4.34,2.04,4.86,2.00,4.07,2.08,5.20,1.80
7,😓,general,3.41,1.98,4.54,2.20,4.46,2.15,3.71,1.95,4.70,1.71
8,🤤,general,6.44,2.38,4.93,2.43,5.92,2.26,4.68,2.09,5.84,1.62
9,🤯,general,5.45,2.07,6.19,2.50,5.10,2.27,3.68,2.10,5.66,1.64
10,😑,general,4.81,1.38,4.23,2.10,5.21,2.00,4.11,2.11,4.89,1.95
11,😘,general,6.77,2.38,4.69,2.56,6.34,2.29,5.73,1.75,6.38,1.30
12,😱,general,4.99,2.00,5.89,2.38,4.62,2.26,4.59,2.05,6.14,1.46
13,🤮,general,2.91,2.52,6.05,2.47,3.60,2.09,3.77,2.18,6.44,1.31
14,🤭,general,6.40,2.44,4.78,2.41,5.59,2.29,4.60,1.91,5.27,1.67
15,🤕,general,3.59,2.35,4.99,2.18,3.86,2.22,2.53,1.86,4.83,1.92
16,🧐,general,5.14,1.37,4.49,2.10,5.89,2.27,3.13,2.03,4.03,2.00
17,😶,general,4.63,1.66,4.45,2.41,4.70,2.34,3.20,2.02,3.99,2.10
18,🫣,general,5.20,1.73,5.37,2.27,4.87,2.14,3.22,2.00,4.55,1.91
19,🤨,general,4.85,1.54,4.96,1.98,5.21,2.07,4.88,1.94,5.70,1.54
20,🙄,general,4.25,1.68,5.36,2.16,4.98,2.27,5.33,1.69,5.99,1.40
21,😤,general,3.42,2.14,6.49,2.35,5.06,2.54,3.91,2.08,5.75,1.53
22,🤬,general,3.42,2.40,6.76,2.56,5.09,2.78,3.87,2.30,6.56,1.14
23,😂,general,7.31,2.66,5.25,2.83,6.87,2.20,5.93,1.61,6.69,0.89
24,😛,general,6.63,2.14,4.12,2.37,6.37,2.32,3.35,1.91,3.75,1.94
25,😨,general,3.75,2.10,5.91,2.31,3.88,2.24,3.15,1.89,5.03,1.61
26,😳,general,5.02,1.69,5.62,2.26,4.29,2.10,4.56,1.93,5.43,1.62
27,🙁,general,3.06,2.51,5.03,2.16,3.77,2.14,4.20,2.06,5.95,1.44
28,😬,general,4.52,1.52,4.88,1.95,4.71,1.94,4.12,2.14,4.42,2.09
29,😀,general,7.18,2.44,4.58,2.63,6.68,2.16,4.95,2.07,6.26,1.36
30,😅,general,6.17,2.08,5.06,2.14,5.74,2.12,4.31,1.99,5.04,1.75
31,😆,general,7.17,2.41,5.20,2.55,6.58,2.19,3.91,2.25,5.19,1.84
32,🤗,general,6.97,2.40,4.34,2.69,6.65,2.25,4.58,2.07,4.68,1.88
33,😭,general,2.78,2.66,6.09,2.64,3.23,2.37,5.62,1.82,6.62,1.22
34,🤥,general,4.78,1.99,4.74,2.29,4.86,2.28,2.32,1.72,4.86,2.16
35,🫠,general,4.88,1.85,4.75,2.23,4.38,2.03,3.78,2.26,3.69,2.14
36,😐,general,4.84,1.23,4.11,2.09,5.17,1.91,4.53,1.93,5.13,1.75
37,🥳,general,7.38,2.58,5.69,2.71,6.81,2.15,4.96,2.08,6.57,1.02
38,😔,general,3.11,2.43,5.22,2.24,3.53,2.00,5.21,1.79,6.22,1.22
39,🥺,general,4.48,2.72,5.26,2.35,4.33,2.39,5.37,1.90,5.60,1.61
40,😡,general,3.07,2.55,6.97,2.64,4.31,2.90,4.57,2.22,6.71,1.01
41,🤫,general,5.08,1.41,4.60,2.21,5.55,2.36,3.67,2.12,5.91,1.59
42,😴,general,5.56,2.20,3.06,2.60,5.90,2.57,5.29,2.01,6.70,1.02
43,🙂,general,5.84,1.87,3.95,2.32,5.78,2.12,4.54,1.99,5.10,1.99
44,😊,general,6.89,2.16,4.07,2.44,6.35,2.04,4.93,1.87,5.71,1.48
45,😇,general,6.57,2.06,3.39,2.49,6.33,2.20,3.42,1.98,5.12,1.85
46,😍,general,7.24,2.63,5.46,2.92,5.61,2.63,5.69,1.82,6.68,0.93
47,🥰,general,7.34,2.55,5.33,2.80,5.89,2.43,6.15,1.41,6.50,1.08
48,😄,general,6.94,2.21,4.27,2.44,6.29,2.08,5.10,1.73,5.73,1.48
49,😎,general,6.92,2.41,4.24,2.59,7.21,2.18,4.81,1.97,5.22,1.66
50,🥲,general,4.23,2.10,4.93,1.96,4.24,2.01,4.25,2.03,5.10,1.68
51,😏,general,6.29,2.10,5.28,2.32,6.06,2.13,4.58,2.02,5.54,1.64
52,🤩,general,7.22,2.53,5.24,2.59,6.65,2.12,3.54,2.24,4.02,2.03
53,🤔,general,5.09,1.23,4.77,1.96,5.11,1.93,5.21,1.80,5.97,1.45
54,😒,general,3.92,1.90,4.96,2.09,4.49,2.05,4.72,1.99,5.80,1.43
55,😩,general,3.43,2.41,5.63,2.21,3.84,1.99,4.42,2.07,5.32,1.74
56,😉,general,6.49,1.97,4.31,2.21,6.37,2.04,4.36,2.07,5.42,1.68
57,😟,general,3.19,2.22,5.10,2.18,3.65,1.85,3.47,1.93,5.18,1.70
58,🥱,general,5.23,1.81,3.88,2.57,4.93,2.15,4.49,2.21,5.91,1.57
59,🤪,general,6.67,2.33,5.29,2.30,6.03,1.98,3.54,2.16,3.83,1.96
60,🤐,general,4.14,1.82,5.12,2.11,4.41,2.38,3.15,2.14,5.22,1.95
61,😠,Mujeres,3.45,2.13,5.76,2.34,4.76,2.21,3.94,2.06,6.47,1.13
62,😧,Mujeres,3.59,2.16,5.36,2.11,4.27,2.08,2.88,1.88,4.97,1.86
63,😰,Mujeres,3.51,2.24,5.06,2.03,3.97,2.00,3.14,1.80,4.77,1.85
64,😲,Mujeres,5.38,1.63,5.10,2.17,5.25,2.02,3.50,2.03,5.53,1.78
65,😖,Mujeres,3.54,2.01,5.27,2.09,4.35,2.05,3.33,2.00,4.53,2.00
66,😕,Mujeres,4.05,1.41,4.38,2.04,4.81,2.02,4.12,2.07,5.26,1.79
67,😓,Mujeres,3.36,2.02,4.68,2.16,4.40,2.09,3.71,1.98,4.68,1.73
68,🤤,Mujeres,6.54,2.40,4.90,2.42,6.05,2.20,4.74,2.11,5.86,1.63
69,🤯,Mujeres,5.32,2.04,6.14,2.45,5.19,2.26,3.68,2.10,5.57,1.73
70,😑,Mujeres,4.82,1.37,4.18,2.16,5.20,1.92,4.10,2.11,4.90,1.97
71,😘,Mujeres,6.84,2.40,4.70,2.59,6.46,2.24,5.83,1.65,6.39,1.31
72,😱,Mujeres,5.02,1.94,5.83,2.42,4.63,2.19,4.53,2.06,6.08,1.52
73,🤮,Mujeres,2.81,2.54,6.14,2.52,3.51,2.13,3.74,2.12,6.44,1.33
74,🤭,Mujeres,6.40,2.50,4.82,2.46,5.67,2.25,4.68,1.89,5.28,1.67
75,🤕,Mujeres,3.54,2.36,5.19,2.23,3.67,2.20,2.51,1.87,4.79,2.00
76,🧐,Mujeres,5.01,1.31,4.52,2.06,5.75,2.25,3.02,2.02,4.01,2.04
77,😶,Mujeres,4.50,1.62,4.39,2.41,4.66,2.40,3.17,2.03,4.10,2.11
78,🫣,Mujeres,5.18,1.79,5.36,2.33,4.86,2.18,3.34,2.07,4.52,1.91
79,🤨,Mujeres,4.74,1.47,5.05,1.99,5.18,2.04,4.88,1.90,5.71,1.53
80,🙄,Mujeres,4.19,1.62,5.44,2.11,4.97,2.31,5.46,1.65,6.13,1.27
81,😤,Mujeres,3.32,2.11,6.57,2.30,4.97,2.51,3.97,2.06,5.78,1.57
82,🤬,Mujeres,3.27,2.39,6.92,2.52,5.08,2.79,3.84,2.28,6.55,1.15
83,😂,Mujeres,7.38,2.69,5.28,2.90,7.03,2.12,5.88,1.67,6.75,0.79
84,😛,Mujeres,6.64,2.19,4.12,2.41,6.51,2.21,3.39,1.96,3.77,1.93
85,😨,Mujeres,3.59,2.13,5.96,2.30,3.81,2.27,3.22,1.90,4.99,1.62
86,😳,Mujeres,4.94,1.67,5.72,2.34,4.25,2.13,4.65,1.92,5.43,1.64
87,🙁,Mujeres,2.99,2.52,5.17,2.20,3.68,2.10,4.35,1.98,5.99,1.38
88,😬,Mujeres,4.39,1.53,4.93,1.92,4.71,1.87,4.12,2.14,4.44,2.09
89,😀,Mujeres,7.21,2.48,4.60,2.66,6.80,2.08,4.97,2.05,6.29,1.29
90,😅,Mujeres,6.24,2.07,5.07,2.13,5.76,2.06,4.25,2.04,5.03,1.77
91,😆,Mujeres,7.21,2.39,5.22,2.55,6.69,2.09,3.94,2.23,5.14,1.88
92,🤗,Mujeres,7.02,2.44,4.37,2.71,6.77,2.16,4.70,2.09,4.65,1.91
93,😭,Mujeres,2.69,2.68,6.20,2.65,3.12,2.38,5.68,1.74,6.68,1.11
94,🤥,Mujeres,4.65,1.93,4.81,2.30,4.76,2.21,2.29,1.71,4.83,2.26
95,🫠,Mujeres,4.90,1.92,4.89,2.24,4.36,2.02,3.86,2.25,3.70,2.13
96,😐,Mujeres,4.75,1.27,4.26,2.10,5.04,1.86,4.53,1.93,5.25,1.68
97,🥳,Mujeres,7.46,2.64,5.74,2.75,6.94,2.10,4.99,2.04,6.61,1.00
98,😔,Mujeres,3.07,2.52,5.29,2.24,3.46,1.98,5.26,1.78,6.25,1.18
99,🥺,Mujeres,4.30,2.67,5.33,2.42,4.26,2.37,5.50,1.83,5.59,1.61
100,😡,Mujeres,2.97,2.55,7.03,2.70,4.15,2.97,4.60,2.15,6.71,0.95
101,🤫,Mujeres,5.11,1.33,4.66,2.21,5.55,2.32,3.72,2.07,5.98,1.59
102,😴,Mujeres,5.50,2.21,3.17,2.66,5.88,2.57,5.29,2.02,6.70,1.02
103,🙂,Mujeres,5.81,1.83,4.11,2.39,5.82,2.09,4.54,1.97,5.06,2.01
104,😊,Mujeres,6.94,2.16,4.08,2.45,6.40,1.98,4.90,1.79,5.76,1.40
105,😇,Mujeres,6.59,2.06,3.47,2.57,6.34,2.14,3.46,1.99,5.10,1.90
106,😍,Mujeres,7.25,2.63,5.55,2.94,5.61,2.71,5.68,1.81,6.72,0.86
107,🥰,Mujeres,7.35,2.57,5.35,2.80,5.99,2.36,6.33,1.13,6.55,1.00
108,😄,Mujeres,6.99,2.21,4.27,2.52,6.40,2.00,5.12,1.67,5.75,1.41
109,😎,Mujeres,6.90,2.40,4.20,2.64,7.26,2.17,4.73,1.96,5.10,1.63
110,🥲,Mujeres,4.12,2.04,5.07,1.90,4.27,2.02,4.25,1.98,5.11,1.71
111,😏,Mujeres,6.33,2.06,5.37,2.39,6.12,2.16,4.59,1.97,5.50,1.65
112,🤩,Mujeres,7.28,2.48,5.17,2.63,6.75,2.05,3.61,2.27,3.94,2.04
113,🤔,Mujeres,5.09,1.24,4.83,1.99,5.08,1.90,5.17,1.75,5.97,1.47
114,😒,Mujeres,3.79,1.85,5.19,2.10,4.45,2.07,4.72,2.01,5.89,1.34
115,😩,Mujeres,3.40,2.46,5.76,2.21,3.82,2.00,4.61,2.02,5.51,1.62
116,😉,Mujeres,6.43,1.96,4.35,2.24,6.45,1.93,4.34,2.07,5.38,1.72
117,😟,Mujeres,3.16,2.21,5.29,2.14,3.61,1.83,3.49,1.91,5.17,1.73
118,🥱,Mujeres,5.13,1.82,4.09,2.67,4.96,2.16,4.45,2.22,5.96,1.52
119,🤪,Mujeres,6.75,2.25,5.29,2.32,6.15,1.96,3.60,2.19,3.84,1.97
120,🤐,Mujeres,4.01,1.84,5.23,2.14,4.24,2.37,3.08,2.07,5.25,1.92
121,😠,Hombres,4.15,2.06,5.98,2.02,5.39,2.21,3.39,1.87,6.27,1.28
122,😧,Hombres,3.33,2.28,5.17,1.95,3.88,1.94,2.68,1.71,5.22,1.64
123,😰,Hombres,3.32,2.10,5.34,2.20,4.05,2.12,2.83,1.58,4.83,1.79
124,😲,Hombres,5.46,1.79,5.02,1.90,4.90,2.12,3.10,1.93,5.22,1.93
125,😖,Hombres,3.39,2.19,4.98,1.98,4.61,2.05,3.00,1.67,4.73,1.82
126,😕,Hombres,4.51,1.66,4.22,2.04,5.05,1.92,3.90,2.13,4.98,1.82
127,😓,Hombres,3.61,1.80,4.00,2.31,4.68,2.35,3.68,1.86,4.78,1.64
128,🤤,Hombres,6.05,2.28,5.07,2.51,5.44,2.44,4.44,2.00,5.76,1.58
129,🤯,Hombres,5.93,2.13,6.37,2.70,4.76,2.33,3.71,2.11,6.00,1.22
130,😑,Hombres,4.76,1.43,4.41,1.87,5.24,2.27,4.15,2.12,4.88,1.93
131,😘,Hombres,6.50,2.31,4.62,2.47,5.85,2.43,5.37,2.07,6.34,1.32
132,😱,Hombres,4.90,2.25,6.12,2.25,4.59,2.52,4.83,2.01,6.39,1.20
133,🤮,Hombres,3.32,2.43,5.71,2.30,3.95,1.92,3.90,2.40,6.44,1.27
134,🤭,Hombres,6.40,2.20,4.65,2.19,5.25,2.43,4.29,1.99,5.20,1.66
135,🤕,Hombres,3.80,2.34,4.24,1.85,4.59,2.19,2.61,1.83,4.98,1.62
136,🧐,Hombres,5.63,1.48,4.39,2.25,6.44,2.29,3.56,2.01,4.12,1.87
137,😶,Hombres,5.12,1.75,4.71,2.40,4.85,2.12,3.34,2.01,3.61,2.06
138,🫣,Hombres,5.27,1.48,5.41,2.04,4.88,2.00,2.76,1.70,4.66,1.89
139,🤨,Hombres,5.27,1.75,4.63,1.91,5.34,2.17,4.88,2.11,5.66,1.59
140,🙄,Hombres,4.46,1.89,5.07,2.35,5.00,2.13,4.85,1.80,5.46,1.73
141,😤,Hombres,3.80,2.20,6.22,2.56,5.39,2.68,3.68,2.16,5.63,1.39
142,🤬,Hombres,3.98,2.39,6.17,2.63,5.12,2.75,3.98,2.37,6.61,1.09
143,😂,Hombres,7.05,2.57,5.15,2.56,6.27,2.44,6.12,1.36,6.46,1.19
144,😛,Hombres,6.56,1.99,4.12,2.20,5.85,2.66,3.20,1.72,3.68,2.02
145,😨,Hombres,4.37,1.85,5.73,2.38,4.15,2.10,2.88,1.83,5.17,1.58
146,😳,Hombres,5.34,1.76,5.22,1.86,4.44,1.99,4.20,1.93,5.44,1.57
147,🙁,Hombres,3.34,2.48,4.49,1.90,4.12,2.26,3.63,2.28,5.83,1.66
148,😬,Hombres,5.00,1.41,4.68,2.09,4.71,2.21,4.12,2.18,4.37,2.11
149,😀,Hombres,7.07,2.32,4.51,2.57,6.24,2.41,4.88,2.18,6.17,1.60
150,😅,Hombres,5.93,2.15,5.00,2.19,5.63,2.37,4.54,1.78,5.10,1.67
151,😆,Hombres,7.02,2.50,5.12,2.56,6.15,2.51,3.80,2.35,5.39,1.66
152,🤗,Hombres,6.78,2.26,4.22,2.64,6.20,2.56,4.15,1.93,4.80,1.79
153,😭,Hombres,3.12,2.57,5.68,2.59,3.63,2.29,5.39,2.12,6.41,1.58
154,🤥,Hombres,5.29,2.18,4.46,2.26,5.22,2.54,2.44,1.75,4.95,1.75
155,🫠,Hombres,4.80,1.58,4.22,2.14,4.46,2.09,3.44,2.27,3.66,2.20
156,😐,Hombres,5.17,1.00,3.56,1.96,5.66,2.04,4.51,1.98,4.68,1.93
157,🥳,Hombres,7.07,2.38,5.51,2.61,6.34,2.31,4.88,2.25,6.44,1.07
158,😔,Hombres,3.24,2.06,4.98,2.23,3.78,2.04,5.02,1.84,6.12,1.36
159,🥺,Hombres,5.18,2.82,4.97,2.06,4.62,2.48,4.85,2.10,5.61,1.59
160,😡,Hombres,3.44,2.58,6.73,2.43,4.88,2.57,4.46,2.51,6.68,1.23
161,🤫,Hombres,4.98,1.71,4.39,2.22,5.56,2.53,3.49,2.33,5.63,1.56
162,😴,Hombres,5.80,2.17,2.63,2.35,5.95,2.62,5.29,1.99,6.68,1.01
163,🙂,Hombres,5.93,2.05,3.37,1.96,5.66,2.25,4.54,2.06,5.22,1.94
164,😊,Hombres,6.68,2.17,4.02,2.42,6.17,2.26,5.05,2.16,5.51,1.76
165,😇,Hombres,6.51,2.09,3.07,2.16,6.27,2.45,3.24,1.95,5.17,1.70
166,😍,Hombres,7.20,2.66,5.10,2.84,5.58,2.33,5.71,1.86,6.51,1.14
167,🥰,Hombres,7.32,2.48,5.22,2.84,5.51,2.68,5.47,2.03,6.32,1.33
168,😄,Hombres,6.78,2.25,4.24,2.12,5.85,2.34,5.02,1.94,5.63,1.74
169,😎,Hombres,7.02,2.47,4.41,2.40,7.02,2.23,5.12,2.00,5.68,1.72
170,🥲,Hombres,4.64,2.29,4.40,2.11,4.12,1.98,4.22,2.21,5.07,1.57
171,😏,Hombres,6.15,2.26,4.95,2.01,5.83,2.04,4.54,2.24,5.71,1.63
172,🤩,Hombres,7.00,2.74,5.54,2.43,6.27,2.33,3.24,2.17,4.34,2.01
173,🤔,Hombres,5.07,1.21,4.56,1.83,5.20,2.04,5.37,1.97,5.98,1.41
174,😒,Hombres,4.41,2.06,4.12,1.86,4.63,1.98,4.71,1.95,5.46,1.73
175,😩,Hombres,3.51,2.25,5.12,2.17,3.88,1.96,3.71,2.11,4.61,2.02
176,😉,Hombres,6.73,1.98,4.17,2.14,6.07,2.41,4.44,2.11,5.54,1.53
177,😟,Hombres,3.28,2.32,4.35,2.19,3.83,1.96,3.37,2.02,5.24,1.61
178,🥱,Hombres,5.61,1.74,3.10,1.99,4.80,2.15,4.68,2.17,5.73,1.79
179,🤪,Hombres,6.37,2.61,5.32,2.27,5.59,2.00,3.34,2.07,3.78,1.92
180,🤐,Hombres,4.66,1.65,4.71,1.93,5.05,2.30,3.41,2.39,5.07,2.08
